sample_id,image_id,question,ground_truth,question_type_structural,question_type_semantic
1854849,2411812,What is the color of the chair?,black,query,attr
19676668,2343187,What's the owl sitting on?,log,query,rel
12871918,2345501,Do the letters appear to be red?,no,verify,attr
14484236,2331321,Who is holding the black device?,lady,query,rel
12934556,2319306,Is the fork on a napkin?,no,verify,rel
16803030,2397498,Which side is the wood fence on?,right,query,attr
18826845,2333783,Is the pillow that is to the left of the other pillow tan or maybe red?,tan,choose,attr
02143499,2317344,Is there either any rice or pancake in the picture?,no,logical,obj
02548481,2405421,Which kind of food is on the microwave?,cereal,query,rel
16416420,2323777,What is the item of furniture to the right of the desk lamp on the left?,sofa,query,rel
17233675,2394369,Do the skis to the right of the woman look white?,no,verify,attr
12409660,2368332,Which side of the photo is the blue vehicle on?,left,query,attr
14113282,1507,Is the woman on the right side or on the left?,left,choose,attr
08221924,2380712,"What color is the elephant, gray or red?",gray,choose,attr
15884411,2386425,What is the vehicle that is on the street?,bus,query,rel
124628,2378417,Are there batteries or sugar packets?,no,logical,obj
10314836,2355069,What are the orchids on?,tree,query,rel
04147859,2360986,What is the color of the hat?,black,query,attr
12295337,2401645,Which place is the image in?,street,query,global
06462058,2379616,Are there either any pots or safety vests?,no,logical,obj
12356447,2355548,Is the color of the bush different than the carriage?,yes,compare,attr
09192407,2383280,Is it an indoors scene?,no,verify,global
03177729,2413296,On which side of the photo is the pink ice cream?,left,query,attr
17237582,2410006,What is on the animal?,flower,query,rel
0966081,2323212,What do the people in front of the building hold?,flowers,query,rel
17736165,2343545,Do the dishwasher to the left of the woman and the gas stove inside the kitchen both have white color?,yes,logical,obj
08736064,2322026,Of what color are the shorts that the man is wearing?,white,query,attr
01695245,2386308,Is there a cabinet to the left of the chairs in the bottom of the picture?,no,verify,rel
02710991,2385332,What appliance is silver?,stove,query,cat
05272742,2366586,How is the device to the left of the container called?,laptop,query,rel
06546169,2540,Are there any crates or briefcases?,no,logical,obj
10803798,2340858,Is the house on the left?,yes,verify,attr
0450772,2402409,Is the bicycle leaning on the long bench?,yes,verify,rel
10877399,2337945,What color is the lamp next to the couch?,black,query,attr
041020948,2398164,What color is the umbrella?,pink,query,attr
00974584,1593212,Are there both a door and a window in this photo?,yes,logical,obj
07839359,2370059,Is the cable on a bed?,no,verify,rel
14389542,2410973,Is the towel to the right of the other towel red or white?,white,choose,attr
0331409,2394925,What is the color of the couch?,brown,query,attr
18371168,2317542,What is the dessert that is on the table that is not thin?,cupcake,query,rel
12553186,2402704,What color is the carpet?,blue,query,attr
03940926,2384167,Is the shirtless man wearing a jacket?,no,verify,rel
1630869,2400339,Are there customers or coaches in this scene?,no,logical,obj
07832021,2320046,Is the pine tree on the left side?,no,verify,attr
02334990,498077,What is the picture showing?,stage,query,global
14578931,2361213,What is the vehicle that is on the sign that is on the street?,bus,query,rel
00906881,2394296,Of what color is the snowboard?,black,query,attr
14930515,2401996,Does the cooler have a different color than the chair?,no,compare,attr
0795099,2352473,Is the black book to the right of the coffee mug the bookshelf is to the left of?,yes,verify,rel
13917881,2378224,Are there any cars to the right of the motorbike?,yes,verify,rel
141036089,2392869,What is the skater holding?,surfboard,query,rel
03827624,2325456,Is the surfboard on the left?,no,verify,attr
03510444,2373925,Which side of the photo are the carrots on?,left,query,attr
13664550,2352191,Is the knife on a napkin?,yes,verify,rel
04863548,2333428,On which side are the spectators?,right,query,attr
01819680,2369230,Who is wearing gloves?,woman,query,rel
08876591,2367259,Are there either remote controls or keyboards that are not white?,no,logical,obj
161060488,2358516,Is there any cabinet to the right of the stove?,yes,verify,rel
02219646,2345211,Who is wearing a cap?,girls,query,rel
18264847,2368037,Who is wearing glasses?,woman,query,rel
04468199,1987,Are there both screens and desks in the photo?,no,logical,obj
10790456,2383561,Do you see a fire hydrant on the short grass?,yes,verify,rel
0660215,2386438,Which side of the image is the paper bag on?,right,query,attr
1595101,2389006,Which kind of furniture is white?,bed,query,cat
07337718,2350709,Who is holding the camera?,woman,query,rel
17204543,2388260,How is the weather?,sunny,query,global
05431114,2361264,Are there either any screens or televisions that are on?,yes,logical,obj
18181637,2381250,Are the toppings in a bun?,yes,verify,rel
09418168,2417483,Do you see pots that are silver?,no,verify,obj
06651701,2370705,Is the person to the left or to the right of the white blanket?,left,choose,rel
08238569,2376199,Does the field look brown and short?,no,logical,attr
13756106,2366324,What color is the shirt that the man is wearing?,green,query,attr
19637961,2321955,Is the bag to the left or to the right of the jar in the bottom of the photo?,right,choose,rel
01104675,2413283,Is the plastic fork on the left?,no,verify,attr
02403465,2398699,What is located on top of the pole?,flag,query,rel
05386358,2409484,Is the airport surrounded by the green trees?,yes,verify,rel
07267041,2355500,What kind of animal is walking?,elephant,query,cat
131059205,2399053,What is the person near the mug sitting on?,bench,query,rel
12584792,713911,What are the pieces of furniture to the right of the girl that is to the right of the purse called?,tables,query,rel
19424301,2383826,Are there both blankets and kittens in the picture?,no,logical,obj
08214320,2404363,Do the bag and the dress have a different colors?,no,compare,attr
18370851,2317542,What is the food on the rectangular plate?,donut,query,rel
11121262,2383270,What is on the brown table?,pen,query,rel
00239378,2367819,Is there either any white frisbee or dog?,yes,logical,obj
06996545,2395942,Are there both pillows and cats in the image?,yes,logical,obj
02620383,2413347,Is the hair both dry and brown?,no,logical,attr
04532083,1270,Are there any women?,no,verify,obj
1122141,2269,Is the van to the left of the truck black or white?,black,choose,attr
17696715,2362334,Does the person that is to the left of the woman appear to be sitting?,yes,verify,attr
1482147,2331015,What kind of vehicle is it?,train,query,cat
12774169,2342152,Are the palm trees on the right side or on the left?,right,choose,attr
04960612,2366715,Is the bicycle in the top part or in the bottom of the picture?,bottom,choose,attr
01775265,2346673,What is on the shelf?,books,query,rel
17937844,2371825,"How do the pants look, long or short?",short,choose,attr
07708612,2355212,What is in the vase?,umbrella,query,rel
12829148,2325810,Is there a fence or a bicycle in the picture?,yes,logical,obj
0799534,2361911,Is the shelf in the top or in the bottom?,top,choose,attr
18814137,2359142,How tall is the grass that is inside the fence?,short,query,attr
06608092,2333527,Are there napkins or tablecloths in the image?,no,logical,obj
18593021,2368877,Is there a green blanket or towel?,no,logical,obj
15185768,2348528,Does the sky look blue and clear?,yes,logical,attr
13127798,2403783,Does the liquid of the cup have green color?,no,verify,attr
1683070,2370783,The shirt the boy is wearing has which color?,gray,query,attr
17394625,2384847,Is there a woman to the left of the tent that looks black?,no,verify,rel
131007732,2413087,"On which side is the man, the right or the left?",left,choose,attr
05791648,2402619,What animal is looking in the small mirror?,cat,query,rel
0972428,2412806,Which place is it?,airport,query,global
1859645,2403462,What drink is to the left of the chair?,wine,query,rel
19880584,2359886,What is that statue in front of?,fountain,query,rel
13726909,2375648,Is the red towel on the left side?,yes,verify,attr
1398612,2398000,Who is in front of the net?,girl,query,rel
04705546,2378852,Do the stove and the pan have a different colors?,yes,compare,attr
11513139,2340391,What is the meat to the right of the girl on the left of the picture called?,pepperoni,query,rel
1529047,2378825,Are there both windows and clocks in the image?,yes,logical,obj
1930622,2381305,Does the device near the book appear to be closed and black?,yes,logical,attr
17791507,2344827,What is the person to the left of the boy wearing?,heels,query,rel
19954100,2406002,Are there either any parachutes or mats in the image?,no,logical,obj
15565176,2331434,Is the woman on the right side?,no,verify,attr
15239070,2328839,Is the curtain different in color than the wire?,yes,compare,attr
101038518,285971,Are there any small doors or windows in the image?,no,logical,obj
05749562,2373168,What does the girl wear?,shirt,query,rel
08180820,2405784,Is this airplane white and small?,yes,logical,attr
15405128,3494,Is the person to the right of the bottle with the label?,yes,verify,rel
18924997,2341659,The jeans are of which color?,black,query,attr
06503462,2329386,Does the motorbike look silver and small?,yes,logical,attr
09681008,2353765,Who is wearing a helmet?,man,query,rel
05683489,2373169,Which side is the racket on?,right,query,attr
15269023,2373262,Does the ground look blue or red?,blue,choose,attr
13843200,2409391,What color is that coat?,dark,query,attr
05384064,2391491,What do both the curtain and the stove have in common?,color,compare,attr
10329849,2342847,What is the animal that the car is behind of called?,bull,query,rel
19900076,2316836,Are there any pots that are not blue?,yes,verify,obj
00372868,2346104,Does the chair that looks brown and tan look large?,yes,verify,attr
031051640,2363074,What item of furniture is brown?,sofa,query,cat
14863381,2371134,What is the microwave on?,shelf,query,rel
19417782,2390215,Which type of material is the tie made of?,metal,query,attr
12341936,2378022,On which side of the image is the person?,left,query,attr
07539980,2389882,Do the tank top and the street sign have the same color?,no,compare,attr
11283638,2355633,On which side of the photo is the cup?,right,query,attr
04173783,2411136,Is the soda bottle made of the same material as the ring?,no,compare,attr
14824867,2390989,Is the shower curtain gray?,yes,verify,attr
151026421,2340073,What kind of device is it?,phone,query,cat
12290473,2403358,Are there orange skateboards in the image?,no,verify,obj
07527860,2333797,Is he on the edge of the step?,yes,verify,rel
14532198,2351714,Is there any table or chair that is not made of metal?,no,logical,obj
1217392,2411391,Is the snow full and brown?,yes,logical,attr
19545693,2354614,Where is the bench?,balcony,query,rel
14143913,2324284,Who is wearing trousers?,man,query,rel
064308,2339845,What's located on top of the soup?,spice,query,rel
01827473,2326411,Who is wearing a cap?,woman,query,rel
09885633,2346199,Is the black container to the right or to the left of the person that is wearing trousers?,left,choose,rel
19468195,2409283,Where are the bricks?,park,query,rel
01300583,4900,Is the office chair in the bottom part of the photo?,yes,verify,attr
09469469,2001,Are the drawers to the left of the table?,yes,verify,rel
00994044,2398539,What is parked by the gray building?,truck,query,rel
11199016,2382178,Are there bells or toolboxes in this image?,no,logical,obj
16844801,2405085,Is there a horse in the field?,yes,verify,rel
18791229,2315632,Is the coat blue?,no,verify,attr
12556340,2379492,The metal fence in front of the building has what color?,black,query,attr
18942870,2330603,What is on the bed?,laptop,query,rel
0869184,2370926,Is the yellow ball to the left of the planes?,yes,verify,rel
16558482,2410578,Where is the person to the right of the person walking?,mall,query,rel
161036595,2368963,Are there shelves to the right of the curtain the dresser is in front of?,yes,verify,rel
03265024,2352815,Are there lamps or chairs?,yes,logical,obj
0151931,2405545,Are the trousers brown or khaki?,brown,choose,attr
13339460,2356833,What kind of appliance is to the left of the pillow?,radiator,query,rel
18890206,2343903,Which place is it?,beach,query,global
10481180,2347262,What's the man riding on?,snowboard,query,rel
07514158,2417670,Does the chair have the same material as the floor?,yes,compare,attr
03680636,2345079,Is the shirt striped and pink?,yes,logical,attr
19397640,2361493,What kind of appliance is half full?,refrigerator,query,cat
15551605,2409592,What are the vehicles that are to the left of the person that is crossing the street?,buses,query,rel
01284137,2362040,Who is on the surf board that is on the ocean?,lady,query,rel
06751419,2361523,Are both the bench and the gate made of the same material?,yes,compare,attr
02106534,1592132,Is the pine in the top part or in the bottom of the image?,top,choose,attr
07542632,2345259,Are there laptops or tennis balls in this picture?,no,logical,obj
08390892,2393431,What kind of furniture is the woman to the right of the can sitting on?,sofa,query,rel
04780724,2389455,What kind of appliance is on the counter?,blender,query,rel
02802172,1669,What kind of device has the same color as the poster on the wall?,keyboard,query,rel
19311589,2336493,Are there both fences and horses in this picture?,yes,logical,obj
13877211,2318977,Which kind of instrument is on the bed?,guitar,query,rel
12113965,2387863,On which side is the yellow flag?,right,query,attr
06665928,2336198,What is the fence around of?,yard,query,rel
1662807,2412131,What is the walking person near the person holding?,surfboard,query,rel
16601356,2416826,On which side is the placemat?,left,query,attr
19606149,2404854,Is there a pot near the gravel?,yes,verify,rel
14600148,2390092,Are the green beans on the left side?,no,verify,attr
01873649,2409967,On which side of the photo is the shelf?,right,query,attr
12103106,2403677,Which room is it?,kitchen,query,global
11878829,2390370,"Where in this photograph is the large planter, in the top or in the bottom?",bottom,choose,attr
16908443,1592877,Which kind of vehicle is the bush behind of?,bus,query,rel
11948076,2369172,Is the water both choppy and dark?,yes,logical,attr
10378670,2401699,What is common to the logo and the switch?,color,compare,attr
16126478,2415614,What is the name of the devices on the table?,laptops,query,rel
17348940,2328914,"What makes up the cup that is to the left of the stapler, Styrofoam or glass?",styrofoam,choose,attr
141006820,2410601,Is the apple on a plate?,no,verify,rel
0578089,2360173,What is the food to the right of the plate that contains food?,egg,query,rel
0381612,2356977,Is there a cucumber on top of the cabbage that is to the left of the cauliflower?,no,verify,rel
17891076,2403109,What piece of furniture is in front of the wall?,shelf,query,rel
13644996,2315563,What do the pole and the planter have in common?,color,compare,attr
10150791,2412502,Are there cabinets in this photo?,no,verify,obj
03884252,2316624,What appliance is to the right of the refrigerator?,stove,query,rel
133040,2409219,Is the young girl to the right or to the left of the young boy?,left,choose,rel
1129453,2361386,Is the blanket on the right or on the left side of the picture?,right,choose,attr
021017357,4708,Are there both doors and windows in the scene?,yes,logical,obj
07937045,2344009,What's the crate made of?,plastic,query,attr
06457907,2358919,Is the skater to the left of a truck?,no,verify,rel
1612634,2354693,Are there any tomatoes that are yellow?,no,verify,obj
101004377,2359779,Is there a pepper on the pizza?,yes,verify,rel
16761847,2364604,What kind of cooking utensil can be seen in the picture?,pizza pan,query,cat
15884424,2386425,What is this bus in front of?,tree,query,rel
1927045,2389074,Who is wearing a shirt?,woman,query,rel
041037298,2351795,What is on the cake?,icing,query,rel
13277775,2317358,Does the woman ride on a surfboard?,yes,verify,rel
04903925,2386929,What is the plate made of?,glass,query,attr
18167221,2375415,What is on the plate to the left of the knife?,salad,query,rel
15490974,2380105,Is the large kite striped and curved?,yes,logical,attr
00143831,2382258,Are both the puddle and the sky the same color?,yes,compare,attr
07983894,2316520,Which kind of clothing is green?,jacket,query,cat
04527890,2349159,Do you see either a chair or a plate?,yes,logical,obj
13103828,2357756,What is this piece of furniture called?,table,query,cat
05864157,2346071,What device is to the left of the Xbox controller?,cell phone,query,rel
12977355,2322438,What kind of furniture is the phone on?,shelf,query,rel
08820164,2405896,On which side of the image is the green container?,right,query,attr
07967604,2329320,What animal is to the right of the drawer on the left of the image?,cat,query,rel
13904291,498121,Are there any boys to the left of the man on the right of the image?,no,verify,rel
171017855,2344162,What is the piece of furniture called?,desk,query,cat
08790273,2371049,What color is that boot?,brown,query,attr
171014445,2412343,What are the animals to the right of the bell that is to the right of the sculpture?,lions,query,rel
12838776,2359174,What is the man wearing?,glasses,query,rel
04747045,2362436,What item of furniture is the pizza on?,table,query,rel
17194977,2327964,On which side is the elephant?,right,query,attr
08511138,2378140,Are there cups or mugs that are made of glass?,no,logical,obj
03150083,1593172,Are both the crate and the canopy the same color?,no,compare,attr
01163623,2378434,Where is the elevator?,station,query,rel
07329844,2409804,"Where in this photo are the stuffed animals, in the top or in the bottom?",top,choose,attr
04429763,2319924,"Which type of device is not white, the mouse or the computer?",computer mouse,choose,cat
16774773,2388093,Does the dark water look deep or shallow?,deep,choose,attr
11817373,2360609,Do you think that kite is surfing?,yes,verify,attr
08164647,2356740,"Which seems to be less healthy, the hot dog or the lettuce?",hot dog,compare,attr
14835926,2397009,What color does the glass have?,red,query,attr
13502130,2405230,What device is on the wall?,phone,query,rel
18896072,2359495,Which kind of furniture is black?,sofa,query,cat
04964835,2412602,Is the person that is to the right of the statue wearing a hat?,yes,verify,rel
041023994,2351481,Is the tray on top of an ottoman?,no,verify,rel
071028358,2360636,What is the color of the bowl the telephone is to the left of?,orange,query,attr
06270137,2386977,What kind of cooking utensil is to the right of the coffee maker?,tongs,query,rel
05957401,2417911,What kind of clothing is not white?,suit,query,cat
11649314,2393768,The veggies in the middle are which color?,green,query,attr
02623130,2322211,Is the purse black and small?,no,logical,attr
12169621,2326760,Are there square tables or ottomen?,no,logical,obj
06914013,2320767,Of what color is the backpack that is to the left of the pine trees?,black,query,attr
08173783,2320720,Does the man wear jeans?,yes,verify,rel
16229883,2390071,What is the plate to the right of the broccoli filled with?,rice,query,rel
10682862,2412363,What is the vegetable to the right of the salad in the center of the photo?,tomato,query,rel
0253406,2322450,What color is the nose?,blue,query,attr
12366045,2390293,Which kind of animal is it?,horse,query,cat
05643181,2315588,What vegetable is to the right of the container?,lettuce,query,rel
19229391,2332488,On which side is the dark drink?,left,query,attr
07358691,4888,"Which color is the vase, blue or brown?",blue,choose,attr
09296945,2357369,Who is wearing a coat?,people,query,rel
02774751,2328879,On which side is the fork?,left,query,attr
06869103,2329708,How long is the black hair?,short,query,attr
19772922,2372614,Is the frisbee to the right or to the left of the person that is wearing a shoe?,left,choose,rel
18278638,2316171,What vegetable is on the pizza?,onion,query,rel
00439981,2412204,What color is the girl's hair?,brown,query,attr
13713281,2382034,What color is the car in the middle of the picture?,blue,query,attr
09270883,2367964,Are there both a bag and a fruit in this photo?,yes,logical,obj
18544222,2320356,Are there glasses or fences?,no,logical,obj
10421513,2363244,Is the laptop near the cup black or silver?,black,choose,attr
13673034,2348548,Are the pants blue?,no,verify,attr
17536415,2382232,What are the animals that the spots are on?,giraffes,query,rel
17808207,2351035,What kind of furniture is to the left of the soldier?,shelf,query,rel
1185988,2391692,What is the device on top of the table that is to the right of the trashcan?,monitor,query,rel
10560405,2354917,On which side are the napkins?,left,query,attr
08225136,2400869,What does the person that is playing wear?,shorts,query,rel
1836601,2329782,On which side of the photo is the man?,right,query,attr
00232878,2324726,What is the instrument that the man to the left of the fence is playing?,trumpet,query,rel
111273,2320905,Which color is the sky?,gray,query,attr
101013349,2374319,Which kind of fast food is on the tray?,pizza,query,rel
17863555,2399389,Are there onions to the left of the tomato on the left side?,yes,verify,rel
10472185,463,What is used to make the sidewalk?,brick,query,attr
09427112,2373966,Is the painting to the right of a dispenser?,yes,verify,rel
151054913,2404827,On which side of the picture is the black mirror?,right,query,attr
00485133,2394980,What animal is on the appliance on the left of the picture?,dog,query,rel
05134910,2362838,Is the small bottle to the right or to the left of the container which is to the right of the pots?,right,choose,rel
14150782,150282,Which kind of clothing is colorful?,coat,query,cat
07125890,415,Which color is that dress?,black,query,attr
08264630,2363887,On which side of the picture is the meat?,right,query,attr
02705797,2330429,What's the man on?,surfboard,query,rel
02605054,2415117,Is the lid open or closed?,open,choose,attr
15431506,2344297,Who is holding onto the dog that the woman is to the right of?,man,query,rel
051014509,2377956,Do you see trucks to the right of the person that is wearing a shirt?,yes,verify,rel
02156391,2406694,Do you see fire hydrants by the street?,yes,verify,rel
18342661,2414593,Is the man to the left of the women riding a bike?,yes,verify,rel
17208249,2413899,What is the vegetable on the plate of food?,cauliflower,query,rel
17528451,2410790,Are there any chairs or tables that are made of metal?,no,logical,obj
03884579,2316624,Is the huge refrigerator to the right of a towel?,no,verify,rel
02812779,1592272,Are the animals of different types?,no,compare,attr
14647251,2324564,Is the lamp to the left of a pillow?,yes,verify,rel
08555951,2360831,Is the pillow behind a cat?,no,verify,rel
08709105,2378264,Is the shirtless man to the left of the boat wearing boots?,no,verify,rel
00725545,2339309,What type of material is the white chair made of?,plastic,query,attr
01107251,2397689,"Where in this photograph is the leather bag, on the left or on the right?",left,choose,attr
04978978,2412735,What device is on?,monitor,query,cat
03997020,2380622,What vehicle is to the right of the person that is in front of the house?,truck,query,rel
17211384,2322600,Are there any giraffes to the left of the fence that looks long?,yes,verify,rel
03422271,2414272,What is the woman using?,hair dryer,query,rel
01239296,2350340,What is the man staring at?,camera,query,rel
18645978,2320456,What are the melons on?,side table,query,rel
051009548,2379747,What is in the sky?,sun,query,rel
06199787,2353040,Which kind of cooking utensil is to the right of the pot?,skillet,query,rel
11546566,2380112,What is covered in snow?,roof,query,rel
03948549,2358903,Is the bowl to the right or to the left of the strawberry near the tomato?,left,choose,rel
03343283,2349407,What is the name of the animal in the field?,horse,query,rel
10992521,2322425,What is the lake surrounded by?,trees,query,rel
04491721,2415416,What kind of furniture is to the left of the box?,tv stand,query,rel
04150764,2359195,What drink is the bottle filled with?,soda,query,rel
05888273,2352943,Is the bicycle to the right or to the left of the person who is holding the woman?,right,choose,rel
01870742,2350792,The plate is on what?,bike,query,rel
1691597,2394828,What is that fence made of?,metal,query,attr
13676430,2415204,Is the bottle to the left of the happy person?,no,verify,rel
07432340,2328240,Who is standing on the grass?,man,query,rel
0763918,2417543,Is the pipe made of chrome or plastic?,chrome,choose,attr
17207482,2322049,What is on the oven the bacon is to the left of?,clock,query,rel
13159250,2366749,Is there a cup or a tomato?,yes,logical,obj
18655581,2328704,Which kind of furniture is the lamp on?,nightstand,query,rel
11805654,2324322,On which side of the image is the pepperoni?,left,query,attr
08516619,2370386,Are there any cages on the hook?,yes,verify,rel
15854718,2413508,What is holding the sandwich?,box,query,rel
16654438,2360482,What kind of furniture is sitting on the floor?,ottoman,query,rel
1825260,2365064,Is there a pot in the kitchen?,yes,verify,rel
15382420,2345900,Are there any vases or briefcases?,no,logical,obj
05377879,2394351,What is on the wall in this image?,poster,query,rel
13461921,2341361,What animal is lying on top of the chair that is on top of the deck?,cat,query,rel
11746474,2383754,What is the man on the motorbike wearing?,helmet,query,rel
05712472,2373165,Is the telephone in the top part or in the bottom?,top,choose,attr
06412652,2397559,What kind of vehicle isn't green?,van,query,cat
10376400,2359715,Is the screen to the right or to the left of the man that is old?,right,choose,rel
05382758,2350094,Are there either any crates or fences in the picture?,no,logical,obj
081005671,2391197,Is the sky clear?,yes,verify,attr
031050321,2377037,How large is the chimney?,small,query,attr
07831611,2341246,Is this a bed or a table?,bed,choose,cat
17150344,2381387,What animal is in the green grass?,horse,query,rel
1988492,2357988,Are any hats observable?,no,verify,obj
03722419,2375390,What is in front of the street light?,fence,query,rel
15975331,2392397,That dish has what color?,green,query,attr
03422261,2414272,Who is wearing jeans?,woman,query,rel
19118604,2339867,Which place is it?,parking lot,query,global
06614960,2406370,Does the motorcyclist to the left of the person wear a helmet?,yes,verify,rel
09555407,2358945,Are the leaves green and bright?,yes,logical,attr
021056317,2363020,Are there any lamps or bells in this picture?,yes,logical,obj
01664087,2411055,Is the man that is playing wearing a watch?,no,verify,rel
10513400,2325295,Is the purse to the right of the cup that is to the right of the statue?,yes,verify,rel
10644437,2385743,Is this a black sofa?,no,verify,attr
18233279,2405819,What does the person that is not tall used?,kite,query,rel
01192067,2362126,Are there any men to the right of the child in the middle?,yes,verify,rel
05404218,2383614,What's the woman wearing?,outfit,query,rel
10112923,2360411,Which kind of food is in the bowl?,tofu,query,rel
08132376,2361827,What is located on top of the book?,pen,query,rel
11766196,2334480,Does the drink to the left of the mobile phone look red?,no,verify,attr
14305270,2387030,Are there any fire hydrants near the blue ocean?,yes,verify,rel
14775014,2403595,Which kind of furniture is the pillow on?,bed,query,rel
19737210,2386651,Is the brown chair to the right or to the left of the bag?,right,choose,rel
02138218,2415535,On which side is the blanket?,right,query,attr
18173853,2396567,Is the shape of the bananas round?,yes,verify,attr
19253780,2359700,Who wears the skis?,child,query,rel
08173848,2320720,What is the fence made of?,metal,query,attr
11166911,2404979,What is the pole in front of?,trees,query,rel
09180291,2387762,Which kind of clothing is white?,pants,query,cat
03567344,2372892,Who is standing?,man,query,cat
19831594,2412358,Which side of the image is the video camera on?,right,query,attr
08703656,2319856,Do you see children there?,yes,verify,obj
16432564,2417831,What is he wearing?,pants,query,rel
18315874,1012,"What material is the bridge, rock or iron?",rock,choose,attr
03343225,2349407,On which side of the image is the man?,left,query,attr
17184724,4290,Are there any chairs in the photo?,yes,verify,obj
01232038,2324615,Are there towers near the tree that is little?,yes,verify,rel
00672362,2325349,The bus is where?,street,query,rel
03242981,2324793,The clouds in the sky have what color?,white,query,attr
09299205,2340985,On which side is the ship?,left,query,attr
07507609,2356502,Of what color is the jacket?,black,query,attr
07149802,2417737,What is the sign that the snow is on?,stop sign,query,rel
04248786,2380656,Is the tall fence on the right?,yes,verify,attr
17398608,2321675,What animal is standing in the field?,horse,query,rel
10161134,2408305,What is in the calm water?,ball,query,rel
16371841,2396304,Which kind of clothing is thick?,glove,query,cat
10275952,2316861,What is the purple article of clothing?,dress,query,cat
00270672,2397179,Do you see fire hydrants or pots there?,yes,logical,obj
09351221,2386171,How big is the bird that is white?,large,query,attr
18413100,2354399,What is in the white container?,chocolate,query,rel
19447661,2350474,How is the weather today?,cloudless,query,global
061043477,2332286,Are there unpeeled bananas or apples?,no,logical,obj
1241497,2362038,Which kind of clothing is not white?,apron,query,cat
14618559,2372563,Are there green bags in the photo?,no,verify,obj
10568920,2387481,Is there a can beside the woman that is on the left side?,no,verify,rel
02352081,2406586,Which kind of device is on the desk?,keyboard,query,rel
12843638,1887,"In which part is the traffic light, the top or the bottom?",bottom,choose,attr
01672446,2357852,What color is the floor?,dark,query,attr
13676300,2415204,The lemon is on what?,fork,query,rel
07184590,2386393,Which color is the dessert that sits on the table?,green,query,attr
10397944,2387136,"Which side is the bag on, the right or the left?",right,choose,attr
05627564,2379703,Is the sky white or blue?,white,choose,attr
03493687,2409878,Who in the scene is sitting?,player,query,cat
10445249,2367305,Which kind of vegetable is to the right of the onions?,artichokes,query,rel
12103646,2403677,What are the items of furniture that are to the right of the appliance that is below the microwave?,cabinets,query,rel
01597179,2388360,What is the fence enclosing?,ground,query,rel
10153670,2395301,Which kind of vegetable is not red?,onions,query,cat
08897428,2405382,What is on the stove?,pan,query,rel
14889337,2374981,Are both the post and the fence made of the same material?,no,compare,attr
03337741,2377193,What kind of furniture is the table behind of?,couch,query,rel
17808273,2351035,Is the brown bag to the left of the soldier?,yes,verify,rel
081022863,2390647,Are there either any stoves or cabinets?,yes,logical,obj
071002567,2386067,"What is the broccoli on, a table or a nightstand?",table,choose,rel
09550409,2360257,"What is this, a plate or a wine glass?",plate,choose,cat
13124398,2400251,Is the gray screen to the right or to the left of the books that are to the right of the scissors?,right,choose,rel
11985561,2386099,Is there a cake in the photo that is white?,no,verify,obj
05399923,2349811,What is the appliance to the right of the blue box?,stove,query,rel
101033450,2405682,On which side of the image is the car?,right,query,attr
1925120,2366862,What color is the floor?,tan,query,attr
1861037,2403460,What is on the fridge?,paper,query,rel
16889949,1159654,What is the animal that is lying in the kitchen?,dog,query,rel
08649653,2340495,What device is on the desk?,laptop,query,rel
0366815,2416386,What kind of clothing isn't black?,skirt,query,cat
03614085,2363226,What is the person in the sand holding?,kite,query,rel
04135800,2406142,Which place is it?,store,query,global
05767671,2400612,Are the brown food on the right?,no,verify,attr
03695298,2393961,Are there either umbrellas or pictures?,yes,logical,obj
13466792,2316339,Are the people to the right of a chair?,yes,verify,rel
1972300,2387777,Is the wool covering a cow?,no,verify,rel
03902589,2337687,Are there any people to the left of the backpack?,no,verify,rel
18233502,2405819,"On which side of the photo is the boy, the right or the left?",right,choose,attr
08592939,498237,Are there either any vendors or shoppers in the picture?,no,logical,obj
19676689,2343187,The owl is on what?,log,query,rel
19257468,2348008,What is the vehicle that is to the left of the fire hydrant that is in the grass?,bus,query,rel
06106881,2415549,What device is to the right of the man?,television,query,rel
00648448,2364797,Are there both meat and cheese in the picture?,yes,logical,obj
10127447,2376309,Which color are the goggles?,black,query,attr
15776471,2319436,What kind of vegetable is on the tray the paper is under of?,potatoes,query,rel
11207697,2316747,Is the computer on the left side or on the right of the photo?,left,choose,attr
17863618,2399389,Is the bread on a tray?,no,verify,rel
19108415,2377013,Is the floor wooden and rough?,no,logical,attr
1228463,2344578,What fruit is to the left of the plate?,banana,query,rel
18282991,2328576,What is the person to the left of the lamp sitting on?,bed,query,rel
123206,2410046,Which color do you think the trees in the snow are?,dark,query,attr
11546576,2380112,On which side is the man?,right,query,attr
03224711,2416361,What kind of appliance in this image is silver?,blender,query,cat
04728974,2413340,Which kind of fast food is in the pan?,pizza,query,rel
03745150,2367712,Which place is it?,field,query,global
16116618,2317251,The water is in front of what?,mountain,query,rel
05643335,2315588,Are there both peppers and plates in the photograph?,no,logical,obj
08848085,2334380,What is this man on?,skateboard,query,rel
19805785,2331876,Is there either soup or cheese in this image?,yes,logical,obj
09296163,2374121,Are there any airplanes near the blue car?,no,verify,rel
08830258,2354268,What is the vehicle to the right of the van?,bus,query,rel
04172584,2326613,Is the planter that looks square both blue and large?,no,logical,attr
01349523,2330960,On which side of the image is the car?,left,query,attr
01845939,2362289,Which side is the umpire on?,right,query,attr
